Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,60,22,19730,7284330,1379.6,729.5,650.2,4.21,4.52,3.91
Boston Celtics,82,40,42,19880,7321182,1386.6,725.3,661.3,4.2,4.55,3.87
Brooklyn Nets,82,38,44,19930,7273552,1377.6,728.7,648.9,4.15,4.41,3.9
Charlotte Hornets,82,33,49,19905,7372210,1396.3,771.9,624.3,4.22,4.57,3.85
Chicago Bulls,82,50,32,19880,7339216,1390,756,634,4.21,4.51,3.9
Cleveland Cavaliers,81,53,28,19540,7031381,1331.7,714.4,617.3,4.09,4.3,3.88
Dallas Mavericks,82,50,32,19880,7263412,1375.6,720.9,654.8,4.15,4.44,3.88
Denver Nuggets,82,30,52,19880,7261563,1375.3,716.7,658.6,4.16,4.46,3.87
Detroit Pistons,82,32,50,19830,7386810,1399,761,638,4.24,4.55,3.92
Golden State Warriors,82.00,67.00,15.00,19730.00,7385355.00,1398.70,729.70,669.00,4.19,4.71,3.75
Houston Rockets,81,55,26,19565,7155793,1355.3,712.6,642.6,4.16,4.44,3.89
Indiana Pacers,82,38,44,19855,7153645,1354.9,735.6,619.3,4.11,4.31,3.89
Los Angeles Clippers,82,56,26,19730,7121140,1348.7,700.3,648.4,4.11,4.38,3.85
Los Angeles Lakers,82,21,61,19930,7223567,1368.1,738.7,629.4,4.12,4.33,3.9
Memphis Grizzlies,82,55,27,19905,7251408,1373.4,741.8,631.6,4.15,4.42,3.87
Miami Heat,81,36,45,19490,7048144,1334.9,724.3,610.6,4.12,4.38,3.84
Milwaukee Bucks,81,40,41,19690,7252810,1373.6,708.4,665.3,4.19,4.52,3.89
Minnesota Timberwolves,81,16,65,19565,7176864,1359.3,723.6,635.6,4.17,4.44,3.9
New Orleans Pelicans,82,45,37,19780,7177932,1359.5,749.1,610.4,4.13,4.44,3.8
New York Knicks,81,17,64,19615,7273376,1377.5,761.1,616.5,4.23,4.52,3.91
Oklahoma City Thunder,82,45,37,19830,7246486,1372.4,729.4,643,4.17,4.5,3.85
Orlando Magic,82,25,57,19755,7247094,1372.6,727.5,645.1,4.18,4.51,3.86
Philadelphia 76ers,82,18,64,19805,7530721,1426.3,765.8,660.5,4.33,4.65,4.01
Phoenix Suns,82,39,43,19880,7169109,1357.8,707.8,650,4.1,4.38,3.83
Portland Trail Blazers,82,51,31,19855,7349419,1391.9,762.1,629.9,4.21,4.54,3.88
Sacramento Kings,82,29,53,19855,7288448,1380.4,741.1,639.3,4.17,4.45,3.89
San Antonio Spurs,82,55,27,19955,7653349,1449.5,798.9,650.6,4.37,4.75,3.97
Toronto Raptors,82,49,33,19855,7157973,1355.7,725,630.7,4.1,4.3,3.9
Utah Jazz,82,38,44,19705,7332009,1388.6,768.4,620.3,4.24,4.52,3.93
Washington Wizards,82,46,36,19955,7288998,1380.5,732.9,647.6,4.15,4.45,3.85
