Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,36,46,19855,7789797,1475.3,785.4,689.9,4.19,4.5,3.89
Boston Celtics,81,63,18,19590,7527507,1425.7,760.1,665.5,4.08,4.34,3.81
Brooklyn Nets,79,32,47,19085,7557797,1431.4,780.7,650.7,4.2,4.51,3.87
Charlotte Hornets,81,20,61,19490,7939324,1503.7,821.5,682.2,4.31,4.67,3.95
Chicago Bulls,81,39,42,19740,7650693,1449,761.1,687.9,4.16,4.48,3.86
Cleveland Cavaliers,82,48,34,19805,7860869,1488.8,801.5,687.3,4.2,4.54,3.87
Dallas Mavericks,81,49,32,19465,7620769,1443.3,761.6,681.7,4.17,4.43,3.91
Denver Nuggets,80,55,25,19225,7393005,1400.2,755.4,644.8,4.08,4.33,3.81
Detroit Pistons,81,14,67,19515,7851729,1487.1,799.3,687.8,4.27,4.63,3.91
Golden State Warriors,81.00,46.00,35.00,19590.00,7782108.00,1473.90,807.90,666.00,4.26,4.66,3.86
Houston Rockets,82,41,41,19855,7770036,1471.6,778.8,692.8,4.15,4.44,3.86
Indiana Pacers,82,47,35,19705,8242465,1561.1,832,729.1,4.42,4.82,4.04
LA Clippers,81,50,31,19465,7414286,1404.2,756.2,648,4.05,4.29,3.81
Los Angeles Lakers,81,46,35,19615,7335214,1389.2,729.1,660.1,4.02,4.26,3.79
Memphis Grizzlies,82,27,55,19780,8021714,1519.3,816.7,702.5,4.29,4.53,4.05
Miami Heat,82,46,36,19755,7918910,1499.8,814,685.8,4.31,4.66,3.95
Milwaukee Bucks,82,49,33,19805,7780757,1473.6,780.9,692.7,4.15,4.44,3.86
Minnesota Timberwolves,82,56,26,19805,7882224,1492.8,794.6,698.2,4.2,4.46,3.94
New Orleans Pelicans,81,49,32,19465,7818004,1480.7,787.1,693.6,4.24,4.54,3.95
New York Knicks,82,50,32,19730,7782408,1473.9,814.1,659.8,4.19,4.42,3.93
Oklahoma City Thunder,82,57,25,19805,8099032,1533.9,824.8,709.1,4.32,4.75,3.91
Orlando Magic,82,47,35,19780,7923574,1500.7,814.5,686.2,4.23,4.47,3.98
Philadelphia 76ers,81,46,35,19540,7877292,1491.9,810.6,681.3,4.25,4.56,3.94
Phoenix Suns,81,49,32,19540,7447242,1410.5,758.3,652.2,4.08,4.32,3.83
Portland Trail Blazers,81,20,61,19615,7894036,1495.1,798,697,4.25,4.5,4
Sacramento Kings,82,46,36,19855,8209520,1554.8,829.7,725.2,4.4,4.79,4.02
San Antonio Spurs,81,21,60,19590,8195212,1552.1,836.6,715.5,4.42,4.84,4.02
Toronto Raptors,81,25,56,19540,7916443,1499.3,786.8,712.6,4.27,4.61,3.95
Utah Jazz,81,31,50,19565,7881560,1492.7,818.8,673.9,4.23,4.53,3.93
Washington Wizards,82,15,67,19730,8084613,1531.2,817.4,713.8,4.34,4.75,3.94
