Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Toronto Raptors,74,28,46,17885,7471520,1415.1,733.5,681.6,4.41,4.7,4.14
Memphis Grizzlies,74,44,30,17785,7468321,1414.5,741.3,673.2,4.49,4.85,4.16
Indiana Pacers,73,43,30,17645,7345680,1391.2,725.6,665.6,4.4,4.7,4.12
Portland Trail Blazers,75,32,43,18075,7300746,1382.7,720,662.7,4.28,4.52,4.05
Brooklyn Nets,74,24,50,17860,7295867,1381.8,745.5,636.3,4.31,4.51,4.1
New Orleans Pelicans,74,21,53,17835,7293594,1381.4,734.6,646.8,4.33,4.6,4.06
Cleveland Cavaliers,75,60,15,18025,7285946,1379.9,730,650,4.28,4.7,3.89
Atlanta Hawks,73,35,38,17620,7238765,1371,726,644.9,4.36,4.81,3.94
Utah Jazz,74,16,58,17860,7228616,1369.1,741.2,627.9,4.28,4.49,4.04
Washington Wizards,73.00,15.00,58.00,17570.00,7228813.00,1369.10,735.30,633.80,4.36,4.72,4.01
Minnesota Timberwolves,75,43,32,18100,7221900,1367.8,726.3,641.5,4.23,4.49,3.97
Phoenix Suns,75,35,40,18150,7189687,1361.7,745.9,615.8,4.21,4.45,3.95
Charlotte Hornets,73,17,56,17595,7188771,1361.5,734.1,627.4,4.33,4.6,4.05
Chicago Bulls,73,32,41,17595,7182339,1360.3,716.3,643.9,4.34,4.77,3.94
Sacramento Kings,73,35,38,17720,7180971,1360,722.3,637.8,4.3,4.62,3.98
Miami Heat,73,33,40,17745,7174724,1358.8,728.5,630.3,4.29,4.57,4
Philadelphia 76ers,75,23,52,18125,7171116,1358.2,735.2,623,4.18,4.45,3.9
Detroit Pistons,74,42,32,17860,7169219,1357.8,718,639.8,4.25,4.52,3.99
San Antonio Spurs,74,31,43,17810,7130778,1350.5,717,633.5,4.25,4.56,3.96
Golden State Warriors,72,42,30,17305,7124896,1349.4,727.4,622,4.37,4.72,4.02
Dallas Mavericks,75,37,38,18050,7120253,1348.5,718,630.5,4.19,4.49,3.9
Oklahoma City Thunder,73,61,12,17545,7120323,1348.5,714.7,633.8,4.3,4.64,3.98
Orlando Magic,74,35,39,17810,7064748,1338,722.2,615.8,4.18,4.38,3.97
Houston Rockets,74,48,26,17860,7030819,1331.6,709.1,622.5,4.16,4.37,3.95
New York Knicks,74,47,27,17935,6967582,1319.6,715.5,604.1,4.17,4.37,3.95
Denver Nuggets,75,47,28,18124,6938014,1314,693,621,4.11,4.42,3.8
Milwaukee Bucks,73,40,33,17545,6919456,1310.5,697.1,613.4,4.2,4.46,3.94
Los Angeles Lakers,73,45,28,17570,6794193,1286.8,689.4,597.3,4.1,4.31,3.88
LA Clippers,73,42,31,17595,6788988,1285.8,685.4,600.4,4.09,4.28,3.89
Boston Celtics,72,53,19,17380,6540877,1238.8,662.6,576.2,4.05,4.19,3.9
