Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,43,39,19705,7498129,1420.1,766.4,653.6,4.09,4.4,3.77
Boston Celtics,81,51,30,19665,7333961,1389,740.9,648.1,4.01,4.24,3.77
Brooklyn Nets,82,44,38,19755,7486110,1417.8,752.5,665.3,4.08,4.35,3.81
Charlotte Hornets,81,43,38,19640,7929884,1501.9,806.7,695.2,4.3,4.69,3.91
Chicago Bulls,82,46,36,19730,7617958,1442.8,767.3,675.5,4.16,4.45,3.88
Cleveland Cavaliers,82,44,38,19730,7644281,1447.8,789.7,658.1,4.12,4.36,3.85
Dallas Mavericks,82,52,30,19755,7597477,1438.9,782.2,656.7,4.1,4.3,3.88
Denver Nuggets,82,48,34,19805,7525320,1425.3,771.6,653.7,4.09,4.36,3.8
Detroit Pistons,81,23,58,19540,7776678,1472.9,796.4,676.4,4.22,4.55,3.89
Golden State Warriors,81.00,53.00,28.00,19490.00,7619802.00,1443.10,775.40,667.70,4.16,4.55,3.78
Houston Rockets,82,20,62,19755,7605950,1440.5,773.1,667.4,4.08,4.34,3.82
Indiana Pacers,82,25,57,19880,7998530,1514.9,818.4,696.5,4.27,4.65,3.9
LA Clippers,81,42,39,19540,7500367,1420.5,761,659.5,4.07,4.34,3.8
Los Angeles Lakers,82,33,49,19980,7538263,1427.7,754.6,673.1,4.01,4.25,3.78
Memphis Grizzlies,81,55,26,19540,7678510,1454.3,774.2,680,4.21,4.48,3.94
Miami Heat,82,53,29,19855,7818782,1480.8,803.9,676.9,4.18,4.52,3.83
Milwaukee Bucks,82,51,31,19755,7815602,1480.2,784.5,695.7,4.21,4.61,3.83
Minnesota Timberwolves,82,46,36,19780,7689829,1456.4,769.1,687.3,4.16,4.48,3.86
New Orleans Pelicans,81,35,46,19515,7660687,1450.9,781.2,669.7,4.17,4.47,3.87
New York Knicks,81,36,45,19540,7647658,1448.4,778.9,669.5,4.16,4.41,3.91
Oklahoma City Thunder,82,24,58,19805,7827077,1482.4,808.4,674,4.27,4.68,3.86
Orlando Magic,82,22,60,19780,7891099,1494.5,806.7,687.9,4.25,4.6,3.9
Philadelphia 76ers,82,51,31,19805,7630082,1445.1,771,674.1,4.12,4.34,3.89
Phoenix Suns,81,63,18,19490,7482915,1417.2,760.6,656.6,4.14,4.52,3.77
Portland Trail Blazers,82,27,55,19730,7737791,1465.5,785.8,679.7,4.16,4.46,3.86
Sacramento Kings,81,29,52,19565,7705656,1459.4,776.7,682.7,4.24,4.61,3.89
San Antonio Spurs,82,34,48,19805,8138117,1541.3,835.5,705.8,4.37,4.87,3.9
Toronto Raptors,82,48,34,19855,7815240,1480.2,795.3,684.9,4.19,4.48,3.9
Utah Jazz,82,49,33,19730,7610063,1441.3,779.7,661.6,4.09,4.39,3.79
Washington Wizards,82,35,47,19830,7771812,1471.9,810,662,4.17,4.51,3.83
