Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,81,24,57,19465,7528969,1425.9,774,651.9,4.41,4.75,4.07
Boston Celtics,79,52,27,19085,7120969,1348.7,721.5,627.2,4.25,4.5,3.99
Brooklyn Nets,80,27,53,19375,7351384,1392.3,766.4,625.9,4.32,4.65,3.99
Charlotte Hornets,82,36,46,19780,7544925,1429,776.3,652.6,4.35,4.67,4.01
Chicago Bulls,82,27,55,19855,7777807,1473.1,784.8,688.3,4.47,4.9,4.06
Cleveland Cavaliers,82,50,32,19730,7294382,1381.5,724.4,657.1,4.21,4.44,3.99
Dallas Mavericks,82,24,58,19805,7457566,1412.4,776.5,635.9,4.29,4.58,3.99
Denver Nuggets,82,46,36,19880,7316899,1385.8,750.3,635.5,4.25,4.59,3.92
Detroit Pistons,82,39,43,19805,7657635,1450.3,783.1,667.2,4.42,4.76,4.08
Golden State Warriors,82.00,58.00,24.00,19730.00,7389669.00,1399.60,734.50,665.00,4.29,4.70,3.90
Houston Rockets,82,65,17,19755,6971789,1320.4,696,624.5,4.02,4.24,3.8
Indiana Pacers,82,48,34,19755,7540808,1428.2,749.6,678.5,4.36,4.6,4.13
LA Clippers,82,42,40,19705,7351620,1392.4,733.3,659,4.25,4.55,3.96
Los Angeles Lakers,82,35,47,19905,7554424,1430.8,751.5,679.2,4.38,4.79,3.99
Memphis Grizzlies,82,22,60,19705,7310385,1384.5,751.3,633.2,4.24,4.51,3.97
Miami Heat,81,43,38,19690,7515923,1423.5,770.4,653,4.34,4.6,4.07
Milwaukee Bucks,81,44,37,19590,7255076,1374.1,704.2,669.9,4.24,4.51,3.99
Minnesota Timberwolves,82,47,35,19805,7221406,1367.7,730.3,637.3,4.15,4.29,4
New Orleans Pelicans,82,48,34,19955,7404843,1402.4,736.5,665.9,4.24,4.62,3.89
New York Knicks,81,28,53,19590,7473113,1415.4,758.9,656.4,4.36,4.63,4.09
Oklahoma City Thunder,80,48,32,19350,7084046,1341.7,691.4,650.3,4.16,4.44,3.91
Orlando Magic,82,25,57,19730,7458915,1412.7,756.1,656.6,4.34,4.66,4.02
Philadelphia 76ers,81,52,29,19540,7599092,1439.2,771.3,667.9,4.42,4.86,4.01
Phoenix Suns,82,21,61,19705,7572199,1434.1,772.4,661.8,4.38,4.76,4
Portland Trail Blazers,82,49,33,19755,7428160,1406.8,774.6,632.2,4.29,4.58,3.99
Sacramento Kings,82,27,55,19755,7505404,1421.5,767,654.5,4.35,4.62,4.06
San Antonio Spurs,82,47,35,19730,7665460,1451.8,801.9,649.9,4.43,4.75,4.08
Toronto Raptors,82,59,23,19830,7637097,1446.4,779,667.4,4.4,4.76,4.05
Utah Jazz,82,48,34,19755,7483305,1417.3,776.6,640.7,4.34,4.65,4.01
Washington Wizards,82,43,39,19855,7384349,1398.6,741.8,656.7,4.26,4.49,4.02
