Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,43,39,19880,7383630,1398.4,740.3,658.1,4.24,4.58,3.91
Boston Celtics,82,53,29,19755,7269780,1376.9,730.3,646.6,4.19,4.48,3.91
Brooklyn Nets,81,20,61,19515,7453618,1411.7,751.6,660.1,4.35,4.74,3.98
Charlotte Hornets,82,36,46,19830,7556907,1431.2,786.5,644.7,4.34,4.7,3.97
Chicago Bulls,82,41,41,19780,7364438,1394.8,753,641.8,4.24,4.51,3.96
Cleveland Cavaliers,82,51,31,19880,7125876,1349.6,711.4,638.2,4.08,4.27,3.89
Dallas Mavericks,81,32,49,19540,7170373,1358,746.1,611.9,4.18,4.4,3.94
Denver Nuggets,81,39,42,19515,7179660,1359.8,740.2,619.6,4.19,4.57,3.81
Detroit Pistons,82,37,45,19805,7455661,1412.1,758.3,653.7,4.29,4.62,3.95
Golden State Warriors,82.00,67.00,15.00,19780.00,7373850.00,1396.60,730.90,665.60,4.24,4.70,3.83
Houston Rockets,82,55,27,19780,7157267,1355.5,700.2,655.3,4.12,4.44,3.83
Indiana Pacers,81,42,39,19615,7141836,1352.6,716.5,636.1,4.15,4.4,3.89
LA Clippers,82,51,31,19755,7075153,1340,713.6,626.4,4.08,4.28,3.87
Los Angeles Lakers,82,26,56,19705,7441037,1409.3,759.5,649.8,4.3,4.66,3.95
Memphis Grizzlies,82,43,39,19905,7163856,1356.8,738.1,618.7,4.1,4.29,3.89
Miami Heat,82,41,41,19780,7420062,1405.3,770.7,634.6,4.27,4.56,3.97
Milwaukee Bucks,82,42,40,19780,7263520,1375.7,716.5,659.2,4.19,4.45,3.94
Minnesota Timberwolves,82,31,51,19805,7330451,1388.3,743.2,645.2,4.21,4.42,4
New Orleans Pelicans,82,34,48,19905,7400231,1401.6,736.2,665.4,4.23,4.62,3.88
New York Knicks,82,31,51,19855,7430318,1407.3,758.2,649,4.26,4.55,3.96
Oklahoma City Thunder,82,47,35,19805,7368984,1395.6,727.1,668.6,4.24,4.6,3.92
Orlando Magic,82,29,53,19805,7346883,1391.5,735.8,655.7,4.23,4.54,3.94
Philadelphia 76ers,82,28,54,19830,7761494,1470,811.4,658.6,4.46,4.9,4.01
Phoenix Suns,80,23,57,19350,7203402,1364.3,719.6,644.6,4.25,4.6,3.92
Portland Trail Blazers,82,41,41,19930,7485599,1417.7,779.4,638.3,4.28,4.64,3.91
Sacramento Kings,82,32,50,19880,7323592,1387,749.1,638,4.2,4.42,3.96
San Antonio Spurs,81,61,20,19565,7444493,1409.9,774.7,635.2,4.34,4.68,3.98
Toronto Raptors,81,50,31,19540,7234235,1370.1,735.7,634.4,4.22,4.47,3.96
Utah Jazz,82,51,31,19755,7311343,1384.7,762.8,622,4.22,4.48,3.94
Washington Wizards,82,49,33,19855,7231366,1369.6,712.8,656.8,4.15,4.42,3.9
