Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,29,53,19855,8095402,1533.2,825.3,708,4.31,4.71,3.92
Boston Celtics,82,49,33,19780,7760752,1469.8,778.5,691.3,4.18,4.54,3.84
Brooklyn Nets,82,42,40,19980,8010004,1517,844.1,672.9,4.25,4.68,3.81
Charlotte Hornets,82,39,43,19830,7937638,1503.3,823.7,679.7,4.27,4.66,3.88
Chicago Bulls,81,22,59,19665,7954129,1506.5,815.9,690.5,4.32,4.68,3.96
Cleveland Cavaliers,82,19,63,19755,7645229,1448,801,647,4.17,4.44,3.88
Dallas Mavericks,82,33,49,19780,7771993,1472,815,657,4.16,4.5,3.81
Denver Nuggets,82,54,28,19730,7781156,1473.7,800.5,673.2,4.2,4.5,3.89
Detroit Pistons,82,41,41,19855,7797213,1476.7,820.9,655.8,4.2,4.47,3.91
Golden State Warriors,82.00,57.00,25.00,19805.00,7691813.00,1456.80,773.00,683.80,4.20,4.66,3.77
Houston Rockets,82,53,29,19830,7376258,1397,744.4,652.6,3.96,4.19,3.74
Indiana Pacers,82,48,34,19705,7846511,1486.1,791.1,694.9,4.22,4.49,3.95
LA Clippers,82,48,34,19830,7969647,1509.4,814.4,695,4.25,4.62,3.89
Los Angeles Lakers,82,37,45,19780,7828599,1482.7,786.3,696.4,4.21,4.58,3.85
Memphis Grizzlies,82,33,49,19880,7901346,1496.5,819.3,677.2,4.22,4.47,3.96
Miami Heat,82,39,43,19730,7788036,1475,813.3,661.7,4.18,4.53,3.82
Milwaukee Bucks,82,60,22,19780,7900146,1496.2,798.6,697.7,4.24,4.64,3.87
Minnesota Timberwolves,82,36,46,19830,7767931,1471.2,788.1,683.1,4.15,4.39,3.9
New Orleans Pelicans,82,33,49,19755,7893979,1495.1,800.6,694.4,4.25,4.66,3.86
New York Knicks,81,17,64,19540,7791270,1475.6,800.9,674.8,4.25,4.57,3.91
Oklahoma City Thunder,81,48,33,19615,7750900,1468,753.9,714.1,4.19,4.6,3.83
Orlando Magic,80,40,40,19300,7695698,1457.5,800.7,656.8,4.26,4.6,3.9
Philadelphia 76ers,81,51,30,19565,7967836,1509.1,822.5,686.6,4.33,4.75,3.91
Phoenix Suns,82,19,63,19880,7837855,1484.4,805.2,679.2,4.18,4.5,3.86
Portland Trail Blazers,82,53,29,19855,7837208,1484.3,827.5,656.8,4.19,4.49,3.86
Sacramento Kings,82,39,43,19730,8118502,1537.6,814.3,723.2,4.37,4.79,3.98
San Antonio Spurs,82,48,34,19805,7955631,1506.7,835.8,670.9,4.32,4.71,3.92
Toronto Raptors,82,58,24,19880,7957463,1507.1,809.1,698,4.25,4.59,3.9
Utah Jazz,81,50,31,19515,7832652,1483.5,813.1,670.4,4.27,4.71,3.84
Washington Wizards,81,31,50,19690,7709220,1460.1,768.4,691.7,4.16,4.48,3.85
