Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,72,41,31,17405,6750259,1278.5,695.3,583.1,4.14,4.44,3.83
Boston Celtics,72,36,36,17380,6749562,1278.3,687.2,591.2,4.13,4.44,3.82
Brooklyn Nets,72,48,24,17405,6632395,1256.1,674.6,581.5,4.08,4.48,3.69
Charlotte Hornets,72,33,39,17355,7008041,1327.3,715.6,611.6,4.31,4.7,3.93
Chicago Bulls,72,31,41,17380,6948337,1316,713.2,602.8,4.27,4.6,3.94
Cleveland Cavaliers,72,22,50,17430,6780450,1284.2,698.9,585.3,4.16,4.42,3.89
Dallas Mavericks,72,42,30,17305,6657137,1260.8,687.8,573,4.15,4.43,3.86
Denver Nuggets,72,47,25,17480,6733133,1275.2,690.3,584.9,4.14,4.4,3.87
Detroit Pistons,72,20,52,17430,6870821,1301.3,714.7,586.6,4.24,4.54,3.93
Golden State Warriors,72.00,39.00,33.00,17305.00,6847575.00,1296.90,686.00,610.80,4.26,4.67,3.87
Houston Rockets,72,17,55,17305,6585199,1247.2,663.3,583.9,4.11,4.39,3.84
Indiana Pacers,72,34,38,17455,7162072,1356.5,723.7,632.7,4.36,4.8,3.94
LA Clippers,72,47,25,17280,6580146,1246.2,674.3,572,4.09,4.34,3.83
Los Angeles Lakers,72,42,30,17455,6666802,1262.7,663.3,599.3,4.06,4.24,3.88
Memphis Grizzlies,72,38,34,17405,6878618,1302.8,688.4,614.4,4.26,4.57,3.97
Miami Heat,72,40,32,17380,6904360,1307.6,703,604.6,4.24,4.59,3.89
Milwaukee Bucks,72,46,26,17330,6879679,1303,693.3,609.6,4.23,4.68,3.82
Minnesota Timberwolves,72,23,49,17405,6974147,1320.9,714.4,606.4,4.26,4.63,3.89
New Orleans Pelicans,72,31,41,17430,6979164,1321.8,713.6,608.2,4.28,4.68,3.89
New York Knicks,72,41,31,17430,6838477,1295.2,702.9,592.3,4.21,4.47,3.94
Oklahoma City Thunder,72,22,50,17355,6881917,1303.4,718,585.3,4.28,4.67,3.87
Orlando Magic,72,21,51,17330,6896203,1306.1,713.6,592.5,4.26,4.56,3.94
Philadelphia 76ers,72,49,23,17430,6851256,1297.6,700.2,597.4,4.19,4.48,3.9
Phoenix Suns,72,51,21,17480,6764518,1281.2,697.5,583.7,4.17,4.53,3.8
Portland Trail Blazers,72,42,30,17305,6481849,1227.6,668.8,558.8,4.06,4.31,3.8
Sacramento Kings,72,31,41,17305,6846497,1296.7,692.9,603.8,4.26,4.59,3.94
San Antonio Spurs,72,33,39,17480,6892444,1305.4,704.2,601.2,4.27,4.57,3.96
Toronto Raptors,72,27,45,17305,6915516,1309.8,703.5,606.3,4.23,4.61,3.87
Utah Jazz,72,52,20,17355,6835601,1294.6,705.9,588.8,4.22,4.6,3.84
Washington Wizards,72,34,38,17405,6853283,1298,687.5,610.4,4.26,4.67,3.87
