Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,41,41,19855,7764103,1470.5,784.7,685.7,4.14,4.48,3.82
Boston Celtics,82,57,25,19980,7523032,1424.8,769.8,655,4,4.3,3.7
Brooklyn Nets,82,45,37,19730,7607287,1440.8,775.2,665.6,4.1,4.45,3.76
Charlotte Hornets,82,27,55,19830,8043740,1523.4,825.1,698.3,4.3,4.7,3.91
Chicago Bulls,81,39,42,19665,7600848,1439.6,752.6,686.9,4.12,4.43,3.82
Cleveland Cavaliers,82,51,31,19880,7577658,1435.2,767.9,667.3,4.03,4.24,3.82
Dallas Mavericks,82,38,44,19930,7540991,1428.2,772.6,655.6,4.02,4.24,3.78
Denver Nuggets,82,53,29,19753,7466455,1414.1,757.9,656.2,4.02,4.29,3.74
Detroit Pistons,81,17,64,19565,7738437,1465.6,787.8,677.8,4.2,4.47,3.92
Golden State Warriors,81.00,43.00,38.00,19590.00,7667340.00,1452.10,791.00,661.20,4.15,4.60,3.72
Houston Rockets,82,22,60,19755,7494118,1419.3,769.4,650,4.02,4.24,3.79
Indiana Pacers,82,35,47,19755,8075024,1529.4,814.9,714.4,4.33,4.73,3.95
LA Clippers,82,44,38,19830,7587289,1437,774,663,4.05,4.31,3.78
Los Angeles Lakers,82,43,39,19880,7621679,1443.5,769.9,673.6,4.09,4.38,3.8
Memphis Grizzlies,82,51,31,19780,7903171,1496.8,786,710.8,4.22,4.5,3.96
Miami Heat,82,44,38,19805,7751398,1468.1,800.5,667.5,4.15,4.48,3.81
Milwaukee Bucks,82,58,24,19830,7775362,1472.6,789.8,682.8,4.17,4.48,3.86
Minnesota Timberwolves,81,41,40,19590,7736670,1465.3,775.8,689.5,4.18,4.5,3.88
New Orleans Pelicans,82,42,40,19855,7811970,1479.5,788.2,691.4,4.17,4.49,3.86
New York Knicks,82,47,35,19955,7859485,1488.5,810.5,678.1,4.17,4.43,3.9
Oklahoma City Thunder,82,40,42,19855,8048314,1524.3,816.9,707.4,4.3,4.74,3.89
Orlando Magic,82,34,48,19780,7911599,1498.4,800.9,697.5,4.24,4.57,3.92
Philadelphia 76ers,82,54,28,19880,7549679,1429.9,764.2,665.7,4.03,4.24,3.82
Phoenix Suns,82,45,37,19780,7736422,1465.2,794.7,670.6,4.15,4.46,3.83
Portland Trail Blazers,81,33,48,19490,7543874,1428.8,773.5,655.3,4.1,4.37,3.83
Sacramento Kings,82,48,34,19830,8067441,1527.9,808.8,719.2,4.3,4.71,3.93
San Antonio Spurs,79,21,58,19135,7893867,1495.1,822.3,672.8,4.37,4.83,3.92
Toronto Raptors,82,41,41,19805,7784335,1474.3,788.4,685.9,4.16,4.45,3.87
Utah Jazz,82,37,45,19805,7824965,1482,811.4,670.6,4.17,4.52,3.8
Washington Wizards,82,35,47,19755,7765076,1470.7,810.1,660.6,4.16,4.46,3.85
